,id,university,major,degree,season,decision,decision_method,decision_date,decision_timestamp,gpa,gre_verbal,gre_quant,gre_writing,new_gre,gre_subject,status,post_data,post_timestamp,comments,uni_faculty,uni_pub
14048,14048,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,3rd rejection. No luck yet. :(,25,3.5
14049,14049,Purdue University,ECE,MS,F12,Accepted,E-mail,27-02-2012,1330318800,3.86,160,166,3.5,False,,International,7/3/12,1331096400,,53,4.8
14050,14050,California Institute Of Technology (Caltech),CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,12,1.8
14051,14051,California Institute Of Technology (Caltech),CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,12,1.8
14052,14052,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,48,5.9
14053,14053,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,withdrew before,25,3.5
14054,14054,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,83,11.1
14055,14055,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,3.42,150,166,3.5,True,,International,7/3/12,1331096400,quite expected,25,3.5
14056,14056,University Of Pennsylvania (UPenn),IS,MS,F12,Accepted,Website,3-Jun-12,1331010000,3.73,163,164,5,True,,American,7/3/12,1331096400,Can't believe it!,46,5.6
14057,14057,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,167,166,4,False,,International,7/3/12,1331096400,GRE 1510. I had 1 accepted IEEE paper which will be printed in may. 2 intracompany white papers. many college level projects. 3 years of work-ex in graphics and GUI. profs to which I applied were in same domain... :(,83,11.1
14058,14058,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,48,5.9
14059,14059,Dartmouth College,CS,PhD,F12,Accepted,E-mail,3-Jul-12,1331096400,,147,163,4,False,,International,7/3/12,1331096400,Tianjin 300071 China,15,1.9
14060,14060,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,25,3.5
14061,14061,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International with US Degree,7/3/12,1331096400,,25,3.5
14062,14062,California Institute Of Technology (Caltech),CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,12,1.8
14063,14063,Dartmouth College,CS,PhD,F12,Accepted,E-mail,3-Jul-12,1331096400,,162,166,4,False,,International,7/3/12,1331096400,"Theory. Got CMU, Wisconsin rejects and RPI admit. Now confused...",15,1.9
14064,14064,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jul-12,1331096400,3.7,160,166,3.5,False,,International,7/3/12,1331096400,"3rd reject, feel terrible...",48,5.9
14065,14065,California Institute Of Technology (Caltech),CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,12,1.8
14066,14066,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,83,11.1
14067,14067,"University Of Wisconsin, Madison",CS,MS,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,American,7/3/12,1331096400,,48,5.9
14068,14068,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,American,7/3/12,1331096400,,83,11.1
14069,14069,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,I knew it,83,11.1
14070,14070,"University Of California, Santa Barbara (UCSB)",CS,MS,F12,Rejected,E-mail,3-Jul-12,1331096400,3.3,168,166,4,False,,International,7/3/12,1331096400,"6th reject, 4 conf pubs, 1 journal pub..what does every1 want this year?",25,3.5
14071,14071,California Institute Of Technology (Caltech),CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.5,155,165,3.5,True,,American,7/3/12,1331096400,,12,1.8
14072,14072,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International with US Degree,7/3/12,1331096400,,25,3.5
14073,14073,"University Of California, Santa Barbara (UCSB)",ECE,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,25,3.5
14074,14074,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,3.7,160,166,3.5,False,,International,7/3/12,1331096400,Expected,83,11.1
14075,14075,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,3.92,162,164,4,True,,International,7/3/12,1331096400,,83,11.1
14076,14076,"University Of Wisconsin, Madison",CS,MS,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,American,7/3/12,1331096400,,48,5.9
14077,14077,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International with US Degree,7/3/12,1331096400,Finally they rejected!,25,3.5
14078,14078,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,,83,11.1
14079,14079,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,E-mail directed to notification website.,25,3.5
14080,14080,"University Of California, Santa Barbara (UCSB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International with US Degree,7/3/12,1331096400,,25,3.5
14081,14081,California Institute Of Technology (Caltech),CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,So f sad... Not that I was not expecting it.,12,1.8
14082,14082,California Institute Of Technology (Caltech),CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International with US Degree,7/3/12,1331096400,,12,1.8
14083,14083,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jul-12,1331096400,,,,,,,International with US Degree,7/3/12,1331096400,,83,11.1
14084,14084,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.44,150,160,4,True,,International with US Degree,7/3/12,1331096400,"I work as an academic instructor in my country & I believe I had a very strong SOP and recommendation letters. My MS was from University of Southern California. It was a long shot, but worth the try. I wish you all the best.",83,11.1
14085,14085,"University Of California, Berkeley (UCB)",ECE,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,7/3/12,1331096400,,83,11.1
14086,14086,Dartmouth College,CS,PhD,F12,Accepted,E-mail,3-Jul-12,1331096400,,,,,,,International,7/3/12,1331096400,It's ivy :-),15,1.9
14087,14087,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International with US Degree,7/3/12,1331096400,,83,11.1
14088,14088,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,7/3/12,1331096400,,83,11.1
14089,14089,University Of Southern California (USC),CS,PhD,F12,Accepted,E-mail,3-Jul-12,1331096400,,,,,,,International,6/3/12,1331010000,"On behalf of the Computer Science Department, I would like to offer my congratulations on your acceptance to the Ph.D. program, starting Fall 2012. You have been selected from nearly 700 applicants worldwide. You have been awarded financial assistance in the form of a Research Assistantship with **********",50,5.7
14090,14090,Dartmouth College,CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,144,164,3,False,,International with US Degree,6/3/12,1331010000,"Official letter from CS dept. $2,046 monthly stipend for 5 years with health plan supplement of $1948. The letter also available via website. (was the unofficial poster below). Only 17 applicants was admitted among 179 applicants. I also got offer from UCSD, not yet decided where to go.",15,1.9
14091,14091,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,3.9,161,166,,False,,American,6/3/12,1331010000,first reject:(,83,11.1
14092,14092,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,83,11.1
14093,14093,"Texas A&M University, College Station (TAMU)",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,3.44,170,157,3,False,,International with US Degree,6/3/12,1331010000,"Got email from the intended professor today, with TA-ship..XD, just got lucky..",38,3.1
14094,14094,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International with US Degree,6/3/12,1331010000,Noooooooooo funnyyyyyyyy,83,11.1
14095,14095,"University Of Wisconsin, Madison",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,"my fourth offer besides UIUC, Gatech, USC",48,5.9
14096,14096,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.7,156,170,3.5,True,,International,6/3/12,1331010000,sen kaybedersin UCB. zaten gey mekanna gitmeyecektim.,83,11.1
14098,14098,"University Of California, Berkeley (UCB)",ECE,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,83,11.1
14099,14099,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,48,5.9
14100,14100,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.76,165,166,5,False,,American,6/3/12,1331010000,"6 publications, including 2 first-author",83,11.1
14101,14101,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,3.6,157,157,4.5,True,,American,6/3/12,1331010000,"pretty much expected, oh well",83,11.1
14102,14102,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,3.8,157,170,4,True,,International,6/3/12,1331010000,Expected ...,83,11.1
14103,14103,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,83,11.1
14104,14104,"University Of Texas, Austin (UT Austin)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,Rejected because my undergraduate course was a 3 year course.,42,5.4
14105,14105,"University Of California, Berkeley (UCB)",ECE,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,Expected. At least I tried. Bye bye San Francisco.,83,11.1
14106,14106,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.47,167,157,5.5,True,,American,6/3/12,1331010000,No research papers.,83,11.1
14107,14107,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,At least they sent email unlike MIT! 4th rejection,83,11.1
14108,14108,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,"3 journal papers, 6 conf papers",83,11.1
14109,14109,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International with US Degree,6/3/12,1331010000,"Computational Phys background, no luck",83,11.1
14110,14110,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,3.97,162,166,4.5,False,,American,6/3/12,1331010000,"1 authored journal pub, several conference publications, 1 year undergraduate research, 3+ years of professional experience.",83,11.1
14111,14111,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,One journal. Four international conferences. Undergraduate research assistant.,83,11.1
14112,14112,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International with US Degree,6/3/12,1331010000,,83,11.1
14113,14113,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,83,11.1
14114,14114,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,3.5,154,166,4,False,,International,6/3/12,1331010000,,83,11.1
14115,14115,"University Of Wisconsin, Madison",CS,MS,F12,Accepted,E-mail,3-Jun-12,1331010000,3.8,164,166,4,False,,International,6/3/12,1331010000,"TAship ($18,087) + Scholarship ($4000) + Tuition + Medical ; Comp-arch",48,5.9
14116,14116,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,4,170,166,6,False,,International with US Degree,6/3/12,1331010000,"3 co-authored publications, 1 first author. No minority status (i.e. Caucasian male).",83,11.1
14117,14117,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,4,151,160,3.5,True,,International,6/3/12,1331010000,,83,11.1
14118,14118,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.87,154,167,4,True,,American,6/3/12,1331010000,"2 publications (1 first author), 3 years research.  Finally got the rejection... Okay with me since I got into my first choice Stanford.",83,11.1
14119,14119,"University Of California, Berkeley (UCB)",ECE,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,3.84,165,166,3,False,,International with US Degree,6/3/12,1331010000,"no surprise, I donated all my money to California though....lol. Still 2 more to go....",83,11.1
14120,14120,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.6,158,168,4,True,,International,6/3/12,1331010000,,83,11.1
14121,14121,"University Of California, Berkeley (UCB)",ECE,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,ListOf gnedgeb,83,11.1
14122,14122,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,83,11.1
14123,14123,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,0/7 ..... FML (wasted $900 so far just to become said) .....,83,11.1
14124,14124,"University Of Wisconsin, Madison",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,3.6,158,168,4,True,,International,6/3/12,1331010000,"Those who got admitted without guaranteed funding, does anyone have an idea of the general trend about funding?",48,5.9
14125,14125,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,,6/3/12,1331010000,,83,11.1
14126,14126,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.87,164,161,5.5,True,,American,6/3/12,1331010000,"Expected! This was the last school I was waiting on, now it's time to make decisions...",83,11.1
14127,14127,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,83,11.1
14128,14128,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,0/7  .....  FML (wasted $900 so far just to become said) .....,83,11.1
14130,14130,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,American,6/3/12,1331010000,,83,11.1
14131,14131,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.64,158,164,3.5,True,,International with US Degree,6/3/12,1331010000,"3 rejections, two to go. yawn.",83,11.1
14132,14132,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,,6/3/12,1331010000,,83,11.1
14133,14133,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,finally an email from them...,83,11.1
14134,14134,"University Of California, Berkeley (UCB)",ECE,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.7,160,166,4,True,,American,6/3/12,1331010000,Didn't have publications,83,11.1
14135,14135,"University Of California, Berkeley (UCB)",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,anyway...i have been admitted to UMich with complete funding and research area of my choice,83,11.1
14136,14136,"University Of California, Berkeley (UCB)",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,American,6/3/12,1331010000,,83,11.1
14137,14137,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,48,5.9
14138,14138,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,Why?!!! Last year lots of stupid guys and gals went there!,48,5.9
14139,14139,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3,170,138,3.5,False,,International,6/3/12,1331010000,"from Iran, rejected from ECE as well CS",48,5.9
14140,14140,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,48,5.9
14141,14141,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,48,5.9
14142,14142,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,American,6/3/12,1331010000,,48,5.9
14143,14143,"University Of California, San Diego (UCSD)",ECE,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,144,164,3,False,,International with US Degree,6/3/12,1331010000,No word on funding.,53,6.9
14144,14144,"University Of Wisconsin, Madison",ECE,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,160,167,4.5,True,,International,6/3/12,1331010000,,48,5.9
14145,14145,"University Of Wisconsin, Madison",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,3.6,158,168,4,True,,International,6/3/12,1331010000,,48,5.9
14146,14146,"University Of Wisconsin, Madison",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,"TA $18,087 + Scholarship $4000",48,5.9
14147,14147,Boston University (BU),CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,:x,22,2.5
14148,14148,Johns Hopkins University (JHU),CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,22,2.4
14149,14149,Columbia University,ECE,MS,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International with US Degree,6/3/12,1331010000,2nd,47,5.8
14150,14150,"University Of Wisconsin, Madison",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,3,164,166,3,False,,International,6/3/12,1331010000,"Unfortunately, we cannot offer you guaranteed financial support. If you accept our offer, we have special industry-funded 50% Research Assistantships (EPIC RAship) for first-year graduate students without guaranteed support, for which you are eligible to apply. Epic RAships are offered to all applicants who qualify, but the interview process is rigorous. To date, about one third of the applicants have been successful.",48,5.9
14152,14152,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,48,5.9
14153,14153,"University Of Wisconsin, Madison",CS,MS,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,American,6/3/12,1331010000,"No guaranteed financial support, though.",48,5.9
14154,14154,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,2nd reject :(,48,5.9
14155,14155,"University Of Wisconsin, Madison",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,"Unfortunately, we cannot offer you guaranteed financial support. If you accept our offer,we have special industry-funded 50% Research Assistantships (EPIC RAship) for first-year graduate students without guaranteed support, for which you are eligible to apply.",48,5.9
14156,14156,Dartmouth College,CS,PhD,F12,Accepted,Phone,3-Jun-12,1331010000,,144,164,3,False,,International with US Degree,6/3/12,1331010000,Unofficial from POI,15,1.9
14157,14157,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,48,5.9
14158,14158,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International with US Degree,6/3/12,1331010000,,48,5.9
14159,14159,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,48,5.9
14160,14160,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,,6/3/12,1331010000,,48,5.9
14161,14161,Boston University (BU),ECE,MS,F12,Accepted,E-mail,3-Jun-12,1331010000,3.7,142,169,3.5,True,,International,6/3/12,1331010000,accepted but no fund :(,22,2.5
14162,14162,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,4,146,166,3.5,True,,International,6/3/12,1331010000,- Disappointed.,,
14163,14163,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,4,166,146,3.5,True,,International,6/3/12,1331010000,#NAME?,48,5.9
14164,14164,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,3.54,148,166,3.5,True,,International,6/3/12,1331010000,Hoped to get admission. It was my worst rejection. Now I can better decide about offer of admissions I had before.,48,5.9
14165,14165,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,reject.....,48,5.9
14166,14166,"University Of Wisconsin, Madison",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,Theory applicant,48,5.9
14167,14167,"University Of Wisconsin, Madison",CS,PhD,F12,Rejected,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,Disappointed. Did expect an offer. rnResearch experience; although in embedded systems. Lots of projects and work experience. Applied for a track in Information Security.rnrnGood luck to everyone.,48,5.9
14168,14168,"University Of Wisconsin, Madison",CS,MS,F12,Rejected,E-mail,3-May-12,1330923600,3.3,168,166,4,False,,International,6/3/12,1331010000,"I regret to inform you that we cannot recommend your admissionfor graduate study in the Department of Computer Sciences.This year, we had over 1350 applicants....5th reject...totally dejected..no admits this season!",48,5.9
14169,14169,"University Of Wisconsin, Madison",CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,,48,5.9
14170,14170,"University Of California, Irvine (UCI)",ECE,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,,,,,,,International,6/3/12,1331010000,Required to support myself financially,55,4.3
14171,14171,Purdue University,ECE,MS,F12,Rejected,E-mail,29-02-2012,1330491600,3.8,157,166,3.5,False,,International,6/3/12,1331010000,,53,4.8
14172,14172,North Caroline State University (NCSU),CS,PhD,F12,Accepted,Website,3-May-12,1330923600,,,,,,,International,6/3/12,1331010000,,30,2.3
14173,14173,Carnegie Mellon University (CMU),CS,MS,F12,Accepted,E-mail,17-02-2012,1329454800,3.84,166,163,4.5,False,,International with US Degree,6/3/12,1331010000,"Applied for PhD, got into MS with conditional funding on second year there.Published second author once, undergrad research for several semesters (5+).Mechanical Engineering B.S. degree from GT, with minor in Computer Science.",152,18.1
14174,14174,Rutgers University,CS,PhD,F12,Rejected,Website,3-Jun-12,1331010000,,,,,,,,6/3/12,1331010000,sad..,43,3.6
14176,14176,University Of Pennsylvania (UPenn),ECE,MS,F12,Accepted,Website,3-May-12,1330923600,4,144,159,3,True,,International,6/3/12,1331010000,,46,5.6
14177,14177,Arizona State University (ASU),CS,PhD,F12,Accepted,E-mail,3-Jun-12,1331010000,3.79,159,160,5,False,,American,6/3/12,1331010000,,26,2.3
14178,14178,"University Of Maryland, Baltimore County (UMBC)",CS,PhD,F12,Rejected,Postal Service,3-Jun-12,1331010000,,,,,,,American,6/3/12,1331010000,0/3... Spirit non-existent,15,1.5
14182,14182,"University Of North Carolina, Chapel Hill (UNC)",CS,PhD,F12,Accepted,E-mail,3-May-12,1330923600,3.3,153,169,,True,,International,6/3/12,1331010000,3 papers,22,2.4
14183,14183,New York University (NYU),CS,MS,F12,Accepted,Postal Service,3-May-12,1330923600,,,,,,,American,5/3/12,1330923600,,46,4.3
14184,14184,"University Of Illinois, Urbana-Champaign (UIUC)",ECE,Other,F12,Accepted,E-mail,3-May-12,1330923600,3.84,165,166,3,False,,International,5/3/12,1330923600,half time RA offered,83,9.9
14185,14185,"University Of Illinois, Urbana-Champaign (UIUC)",ECE,MS,F12,Accepted,E-mail,3-May-12,1330923600,3.84,170,153,3,False,,International with US Degree,5/3/12,1330923600,"UIUC undergrad. tuition wavier, 1 year TAship. OMG,finally, I got somewhere to go.",83,9.9
14186,14186,North Caroline State University (NCSU),ECE,MS,F12,Accepted,E-mail,3-Jan-12,1330578000,,,,,,,International,5/3/12,1330923600,,30,2.3
14187,14187,"University Of Illinois, Urbana-Champaign (UIUC)",ECE,MS,F12,Accepted,E-mail,3-May-12,1330923600,3.76,161,166,3.5,False,,International with US Degree,5/3/12,1330923600,Undergrad at UIUC. TA position offered,83,9.9
14188,14188,"University Of Texas, Austin (UT Austin)",ECE,MS,F12,Accepted,Website,3-May-12,1330923600,,,,,,,International,5/3/12,1330923600,yay its 3rd :) but no funding yet :(,42,5.4
14189,14189,Columbia University,ECE,MS,F12,Accepted,E-mail,3-May-12,1330923600,3.6,170,145,3,False,,International,5/3/12,1330923600,expected.,47,5.8
14190,14190,"University Of Massachusetts, Amherst (UMass)",ECE,PhD,F12,Accepted,E-mail,3-May-12,1330923600,,,,,,,Other,5/3/12,1330923600,"To the student who inquired about ECE UMass, I received the mail just an hour ago and it was from the grad office",50,4.7
14191,14191,"University Of Massachusetts, Amherst (UMass)",ECE,PhD,F12,Accepted,E-mail,3-May-12,1330923600,,,,,,,International,5/3/12,1330923600,Offered RA ship..,50,4.7
14192,14192,University Of Central Florida (UCF),CS,PhD,F12,Accepted,E-mail,3-May-12,1330923600,3.5,145,166,3,False,,International with US Degree,5/3/12,1330923600,"Tuition and Fee waiver + 18,000 $ stipend per year",24,2
14193,14193,University Of Pennsylvania (UPenn),CS,MS,F12,Accepted,E-mail,3-May-12,1330923600,,,,,,,American,5/3/12,1330923600,,46,5.6
14195,14195,Stanford University,ECE,MS,F12,Rejected,E-mail,3-Mar-12,1330750800,,,,,,,International,5/3/12,1330923600,,57,11.5
14196,14196,"University Of Texas, Austin (UT Austin)",ECE,MS,F12,Accepted,E-mail,29-02-2012,1330491600,,,,,,,International,5/3/12,1330923600,,42,5.4
14197,14197,University Of Connecticut,CS,MS,F12,Rejected,E-mail,3-Apr-12,1330837200,,,,,,,International,5/3/12,1330923600,,9,1.5
14198,14198,Brown University,CS,PhD,F12,Rejected,Website,15-02-2012,1329282000,,,,,,,American,5/3/12,1330923600,"Some undergrad research, one publication. Emailed decision notification, decision posted on application.",26,3.3
